species,stage,length_min,length_max,crustacean,insect,worm,zooplankton,detritus,macrophyte,mollusk,fish,biofilm,phytoplankton,echinoderm,Validated?,Reference_ID,Confidence,Notes,,,
Symphodus bailloni,juvenile,2.00002,12,0,1,1,0,0,0,0,0,0,0,0,Revised,DEA09,Low,Assumed to be the same as Symphodus melops.,,,
Symphodus bailloni,adult,12.00001,,1,1,1,0,0,0,1,0,1,0,0,Revised,DEA09,Low,Assumed to be the same as Symphodus melops.,,,
Symphodus melops,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,DEA09,Medium,,,,
Symphodus melops,juvenile,2.00002,12,0,1,1,0,0,0,0,0,0,0,0,Revised,DEA09,Medium,,,,
Symphodus melops,adult,12.00001,,1,1,1,0,0,0,1,0,1,0,0,Revised,DEA09,Medium,,,,
Symphodus roissali,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Symphodus roissali,adult,2.000002,,1,0,0,1,1,1,1,0,0,1,0,Revised,KAB01,Medium,,,,
Syngnathus acus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,Medium,,,,
Syngnathus acus,adult,2.000002,,0,0,0,1,0,0,0,0,0,0,0,Revised,SEAHORSE1,Medium,Feed on pelagic crustacean mainly,,,
Syngnathus rostellatus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,,Medium,,,,
Syngnathus rostellatus,adult,2.000002,,0,0,0,1,0,0,0,0,0,0,0,Revised,fishbase,Medium,Feed on pelagic crustacean mainly,,,
Syngnathus typhle,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,confirmed,LH,Medium,,,,
Syngnathus typhle,adult,2.000002,,0,0,0,1,0,0,0,0,0,0,0,Revised,SEAHORSE1,Medium,Feed on pelagic crustacean mainly,,,
Taurulus bubalis,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Taurulus bubalis,adult,2.000002,,1,0,1,1,0,0,1,1,0,0,0,Revised,KIN82,Medium,,,,
Torpedo marmorata,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Torpedo marmorata,adult,2.000002,,1,0,0,0,0,0,0,1,0,0,0,Revised,CHA21,Medium,,,,
Trachinus draco,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Trachinus draco,adult,2.000002,,1,0,0,1,0,0,1,1,0,0,0,Revised,MOR99,Medium,,,,
Trachurus trachurus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Trachurus trachurus,juvenile,2.000002,24.000001,0,0,0,1,1,0,0,0,0,0,0,Revised,MAK2,Medium,Feed on pelagic crustacean and fish remains,,,
Trachurus trachurus,adult,24.000002,,0,0,0,1,1,0,0,0,0,0,0,Revised,MAK2,Medium,,,,
Trigla lyra,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Trigla lyra,adult,2.000002,,1,0,1,1,0,0,1,0,0,0,1,Revised,CAR07,Medium,,,,
Trisopterus luscus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Trisopterus luscus,juvenile,2.000002,9.000001,1,0,1,1,0,0,0,0,0,0,0,Revised,AMS82,Medium,,,,
Trisopterus luscus,adult,9.000002,,1,0,1,0,0,0,0,1,0,0,0,Revised,AMS82,Medium,,,,
Trisopterus minutus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Trisopterus minutus,juvenile,2.000002,9.000001,1,0,1,1,0,0,0,0,0,0,0,Revised,AMS82,Medium,,,,
Trisopterus minutus,adult,9.000002,,1,0,1,0,0,0,0,1,0,0,0,Revised,AMS82,Medium,,,,
Umbrina canariensis,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Umbrina canariensis,juvenile,2,23,1,1,1,0,0,1,1,0,0,0,0,Revised,UMB1,Medium,UMB1 just for size class ,,,
Umbrina canariensis,adult,23,,1,1,1,0,0,1,1,0,0,0,0,Revised,UMB2,Medium,"UMB2 for diet, ontogeny just change prey size",,,
Zeugopterus norvegicus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Zeugopterus norvegicus,adult,2.000002,,1,0,1,1,0,0,0,1,0,0,0,Revised,FISHBASE,Low,,,,
Zeus faber,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Zeus faber,juvenile,2.000002,8.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,STE91,Medium,,,,
Zeus faber,adult,8.000002,14.000001,0,0,0,1,0,0,0,1,0,0,1,Revised,STE91,Medium,,,,
Zeus faber,adult2,14.000002,,0,0,0,0,0,0,0,1,0,0,1,Revised,STE91,Medium,,,,
